line,division,day_type,day_type_label,month,month_date,year,period,otp_pct,on_time,scheduled
JZ,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.722125939,3750,5193
L,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.864387165,8216,9505
M,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.657696874,3324,5054
N,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.614166996,3104,5054
Q,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.674592258,3433,5089
R,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.577732266,3103,5371
S Fkln,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.991525424,2223,2242
S Rock,B DIVISION,1,Weekday,2015-02-01,2015-02-01T00:00:00Z,2015,2015-2019,0.941784038,3009,3195
1,A DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.748816598,7435,9929
2,A DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.43504783,3138,7213
3,A DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.636897208,4015,6304
4,A DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.398464586,3218,8076
5,A DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.388523443,2776,7145
6,A DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.402662094,4931,12246
7,A DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.806793899,10949,13571
S 42nd,A DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.995184349,13226,13290
A,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.655597015,5271,8040
B,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.796685083,3605,4525
C,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.800227273,3521,4400
D,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.769894701,4460,5793
E,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.713184538,6199,8692
F,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.573254438,4844,8450
G,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.632857377,3856,6093
JZ,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.803202135,4816,5996
L,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.919460088,10286,11187
M,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.674128503,3945,5852
N,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.721462748,4222,5852
Q,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.759463589,4474,5891
R,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.578104994,3612,6248
S Fkln,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.990755008,2572,2596
S Rock,B DIVISION,1,Weekday,2015-03-01,2015-03-01T00:00:00Z,2015,2015-2019,0.953796271,3530,3701
1,A DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.774265002,7690,9932
2,A DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.466402041,3290,7054
3,A DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.670346062,4494,6704
4,A DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.438242574,3541,8080
5,A DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.441489362,3237,7332
6,A DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.416993144,5109,12252
7,A DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.797186489,10597,13293
S 42nd,A DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.992621359,12780,12875
A,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.712515489,5750,8070
B,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.815092674,3694,4532
C,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.858488399,3737,4353
D,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.784071404,4568,5826
E,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.716421343,6230,8696
F,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.622852042,5582,8962
G,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.648767034,3999,6164
JZ,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.795265088,4770,5998
L,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.924017791,9972,10792
M,B DIVISION,1,Weekday,2015-04-01,2015-04-01T00:00:00Z,2015,2015-2019,0.725734792,4247,5852
